Gene	A31338	A31372	A31360	A31387	A30212	A33903	A31406	A31388	A31288	A31390	A30231	A31428	A31432	A31467	A31459
5_8S_rRNA	8.4745	0.9606	10.2401	6.487	8.7349	1.7786	1.2999	4.7233	5.7351	5.5049	2.3771	4.3002	1.5226	5.3368	9.2851
5S_rRNA	1317.9931	542.2455	381.0823	631.8889	241.1936	412.6668	555.863	893.1335	454.1829	492.7469	1684.6211	538.2349	1211.1943	452.7856	355.753
7SK	477.3203	109.1811	106.7589	130.6106	85.7914	94.7553	156.2591	167.0496	131.4766	86.2804	302.2851	113.8088	194.6287	80.576	88.4752
A1BG	29.5843	14.302	21.2738	25.2468	4.6035	24.585	18.5903	26.5375	20.0969	5.6231	21.8242	37.7472	26.5792	31.0875	19.9086
A1CF	0.0561	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A26C1B	0.1489	0.005	0.0031	0.0055	0.0285	0.0161	0.0106	0	0.0034	0	0	0.0131	0	0.0163	0.0183
A2LD1	3.3067	0.5633	1.7916	2.386	3.7795	2.3465	2.2476	4.7745	5.0144	0.0143	0.5375	1.2957	1.2454	2.4468	2.5748
A2M	2.7459	2.3532	1.2834	1.4917	0.6358	0.4903	1.2572	4.8877	1.3677	4.8681	1.6034	3.3526	2.7784	3.8125	0.4418
A2ML1	1.7975	0.6066	0.1577	0	0.0124	0.0207	0.0496	0.1587	0.0034	0	0.0172	1.2051	0.2265	0.4119	0.0667
A3GALT2	0.0251	0	0	0	0	0	0	0.2321	0.0651	0	0.056	0.0088	0	0	0.0228
A4GALT	2.0004	0	3.6805	0.0732	0	1.3783	0	0.4845	0	0.0202	0	0	0.1734	0.3194	0
A4GNT	2.2302	0	0.0636	0	0	0	0	0	0	0	0	0.1144	0.0273	0.1278	0
AAAS	45.6888	60.4431	73.5203	59.3858	27.0078	70.773	43.4182	70.9831	45.2296	37.3137	22.4168	75.4924	66.5776	71.9299	38.6682
